objprep	reunir
objprep	salvar
objprep	sentir
objprep	senyalar
objprep	sol·licitar
objprep	sostenir
objprep	subratllar
objprep	succeir
objprep	superar
objprep	suspendre
objprep	tocar
objprep	tractar
objprep	trigar
objprep	trobar
objprep	usar
objprep	valer
objprep	vincular
objprep	viure
objprep	voler
objprep	votar
