# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 1 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for emtpy string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: F=original form, R=root found in dict, L=lemma in matching dict entry, 
#                    AF/AR/AL=affix followed by F/R/L, FA/RA/LA=F/R/L followed by affix
# 9 Consider the suffix always, not only for unknown words.
# 10 How to retokenize the word if necessary (see uer manual).
#==============================================================

<Prefixes>
</Prefixes>

<Suffixes>
-la	*	^V	*	1	1	0	L	1	$$+-la:$$+PP
-les	*	^V	*	1	1	0	L	1	$$+-les:$$+PP
'l	*	^V	*	1	1	0	L	1	$$+'l:$$+PP
'ls	*	^V	*	1	1	0	L	1	$$+'ls:$$+PP
-ho	*	^V	*	1	1	0	L	1	$$+-ho:$$+PP
-hi	*	^V	*	1	1	0	L	1	$$+-hi:$$+PP
'n	*	^V	*	1	1	0	L	1	$$+'n:$$+PP
'm	*	^V	*	1	1	0	L	1	$$+'m:$$+PP
't	*	^V	*	1	1	0	L	1	$$+'t:$$+PP
'ns	*	^V	*	1	1	0	L	1	$$+'ns:$$+PP
-vos	*	^V	*	1	1	0	L	1	$$+-vos:$$+PP
-se	*	^V	*	1	1	0	L	1	$$+-se:$$+PP
-me-la	*	^V	*	0	1	0	L	1	$$+-me+-la:$$+PP+PP
-me-les	*	^V	*	0	1	0	L	1	$$+-me+-les:$$+PP+PP
-me'n	*	^V	*	0	1	0	L	1	$$+-me+'n:$$+PP+PP
-m'hi	*	^V	*	0	1	0	L	1	$$+-m+'hi:$$+PP+PP
-m'ho	*	^V	*	0	1	0	L	1	$$+-m+'ho:$$+PP+PP
-me'l	*	^V	*	0	1	0	L	1	$$+-me+'l:$$+PP+PP
-me'ls	*	^V	*	0	1	0	L	1	$$+-me+'ls:$$+PP+PP
-te-la	*	^V	*	0	1	0	L	1	$$+-te+-la:$$+PP+PP
-te-les	*	^V	*	0	1	0	L	1	$$+-te+-les:$$+PP+PP
-te'n	*	^V	*	0	1	0	L	1	$$+-te+'n:$$+PP+PP
-t'hi	*	^V	*	0	1	0	L	1	$$+-t+'hi:$$+PP+PP
